epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,8234.4,1.34541,0.82686,0.00577,0.78032,0.5774,0.63907,0.37822,1.34263,1.04514,0.00775,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,8327.73,1.34708,0.84236,0.0061,0.8668,0.5291,0.63541,0.38345,1.33781,1.06399,0.00771,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,8421.84,1.35169,0.86038,0.00629,0.76131,0.58355,0.63193,0.38282,1.33733,1.05282,0.00771,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,8515.77,1.33545,0.83302,0.00593,0.86569,0.52804,0.62996,0.37592,1.33713,1.03627,0.00776,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,178.741,1.29393,0.7303,0.00689,0.8457,0.55641,0.62149,0.37159,1.35737,1.02858,0.00784,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,339.448,1.26846,0.71685,0.00691,0.82557,0.55382,0.62219,0.37587,1.34749,1.02414,0.00778,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,502.89,1.26703,0.70764,0.0068,0.82766,0.57921,0.62273,0.37431,1.35016,1.02696,0.00784,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,660.459,1.27563,0.72265,0.00679,0.86448,0.54116,0.62839,0.37428,1.34458,1.02391,0.00778,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,814.39,1.25812,0.70069,0.00655,0.81336,0.53202,0.61484,0.36836,1.34585,1.01989,0.00777,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,968.441,1.27129,0.71007,0.00672,0.82226,0.54944,0.61944,0.37247,1.3378,1.02131,0.00772,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,1122.45,1.25805,0.69582,0.00667,0.81703,0.52108,0.62432,0.37066,1.34107,1.03333,0.00769,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,1276.31,1.24802,0.69586,0.00671,0.84629,0.51928,0.6236,0.37165,1.34088,1.04383,0.00772,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,1432.03,1.24519,0.69368,0.00672,0.82391,0.53001,0.62567,0.37636,1.33932,1.04785,0.00771,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,1586.74,1.26279,0.70002,0.00684,0.85537,0.53228,0.62278,0.3749,1.34803,1.04089,0.00774,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
